"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2015-08-31,"Deerbrook","WI",,"Langlade",13118,1088,0.0187265917602996,-0.0018348623853211,0.0934673366834171,414
2015-08-31,"Middlesex","VT","Barre","Washington",13119,1631,0.00741198270537369,0.0225705329153605,0.132638888888889,428
2015-08-31,"Suches","GA",,"Union",13120,1166,0.00430663221360896,0.0523465703971119,0.125482625482625,672
2015-08-31,"Finger","TN",,"McNairy",13121,860,0.00702576112412178,0.0105757931844888,0.0386473429951691,999
2015-08-31,"Glencoe","MN","Hutchinson","McLeod",13122,1199,-0.00166527893422148,0.0212947189097104,-0.0384923817161187,1656
2015-08-31,"Bethel","VT","Lebanon","Windsor",13123,1583,0.00699745547073791,0.0219496449322143,0.124289772727273,629
2015-08-31,"Saint Paul","IN","Greensburg","Decatur",13124,869,-0.0125,-0.020293122886133,-0.0615550755939525,446
2015-08-31,"Amboy","WA","Portland","Clark",13125,1655,0.00303030303030303,0.0060790273556231,0.0753736192332684,607
2015-08-31,"Zimmerman","MN","Minneapolis-St Paul","Sherburne",13126,1273,-0.000784929356357928,-0.00235109717868339,0,1715
2015-08-31,"Oxford","KS","Wichita","Sumner",13127,855,0,0.0178571428571429,0.0239520958083832,471
2015-08-31,"Vergas","MN","Fergus Falls","Otter Tail",13128,1331,0.00301431801055011,0.0382215288611544,-0.00597460791635549,959
2015-08-31,"Joppa","AL","Decatur","Morgan",13129,880,-0.00564971751412429,-0.024390243902439,-0.0413943355119826,577
